600,3089,3089,0.668380976,0.158745795,0.351780713,0.018815979,0.0306552,0.189230502,0.006223632,0.004190895,5.339330196,0.761953771,182.5279999,0.388110012,0,3089,0
780,3090,3090,0.668380976,0.158745795,0.351780713,0.018815979,0.0306552,0.189230502,0.006223632,0.004190895,5.339330196,0.761953771,182.5279999,0.388110012,0,3090,0
960,3089,3089,0.739128828,0.164336652,0.360929787,0.019065497,0.032660339,0.196537495,0.002072477,0.004188987,5.172639847,0.33605364,187.9609985,0.39663431,0,3089,0
1140,3089,3089,0.739128828,0.164336652,0.360929787,0.019065497,0.032660339,0.196537495,0.002072477,0.004188987,5.172639847,0.33605364,187.9609985,0.39663431,0,3089,0
1320,3089,3089,0.558318019,0.1649203,0.362984985,0.019132217,0.0333516,0.189971998,0.000704743,0.004188033,4.692659855,0.093904823,194.2890015,0.424708992,0,3089,0
1500,3090,3090,0.539101005,0.156563208,0.338543892,0.017855609,0.031283431,0.189650208,0.001362839,0.004188033,4.081290245,0.243071526,216.098999,0.53352201,0,3090,0
1680,3090,3090,0.539101005,0.156563208,0.338543892,0.017855609,0.031283431,0.189650208,0.001362839,0.004188033,4.081290245,0.243071526,216.098999,0.53352201,0,3090,0
1860,3089,3089,0.959187388,0.187370613,0.415751994,0.020973319,0.037244469,0.223219663,0.007568117,0.004189941,6.109560013,0.985557139,198.8150024,0.405335993,0,3089,0
2040,3089,3089,0.959187388,0.187370613,0.415751994,0.020973319,0.037244469,0.223219663,0.007568117,0.004189941,6.109560013,0.985557139,198.8150024,0.405335993,0,3089,0
2220,3090,3090,1.210667014,0.206956774,0.467050612,0.02300573,0.0412498,0.234692097,0.004496549,0.004189941,6.938640118,0.557349861,225.7160034,0.469581008,0,3090,0
2400,3089,3089,0.418271005,0.170289561,0.375984788,0.021387886,0.03855728,0.217729703,0.001596364,0.004187079,4.905856133,0.180303082,325.053009,0.879410028,0,3089,0
2580,3089,3089,0.418271005,0.170289561,0.375984788,0.021387886,0.03855728,0.217729703,0.001596364,0.004187079,4.905856133,0.180303082,325.053009,0.879410028,0,3089,0
2760,3089,3089,0.636748016,0.173151106,0.382267594,0.01982492,0.034842201,0.213660002,0.001609711,0.00418231,5.843967915,0.240229264,224.746994,0.514477015,0,3089,0
2940,3089,3089,0.636748016,0.173151106,0.382267594,0.01982492,0.034842201,0.213660002,0.001609711,0.00418231,5.843967915,0.240229264,224.746994,0.514477015,0,3089,0
3120,3089,3089,0.603121996,0.161668494,0.360350609,0.018604081,0.031802639,0.192229003,0.000617011,0.004185172,5.098249912,0.09012498,195.1690063,0.425204992,0,3089,0
